"district","grspan","enrltot","teachers","computer","testscr","compstu","expnstu","str","logavginc","elpct","readscr","mathscr"
"Sunol Glen Unified","KK-08",195,10.89999962,67,690.7999878,0.343589753,6384.911133,17.88990974,1.355834506,0,691.5999756,690
"Manzanita Elementary","KK-08",240,11.14999962,101,661.2000122,0.420833319,5099.380859,21.52466393,0.99228837,4.583333492,660.5,661.9000244
"Thermalito Union Elementary","KK-08",1550,82.90000153,169,643.5999756,0.109032258,5501.95459,18.69722557,0.953179586,30.00000191,636.2999878,650.9000244
"Golden Feather Union Elementary","KK-08",243,14,85,647.7000122,0.349794239,7101.831055,17.3571434,0.953179586,0,651.9000244,643.5
"Palermo Union Elementary","KK-08",1335,71.5,171,640.8499756,0.12808989,5235.987793,18.6713295,0.958101764,13.85767746,641.7999878,639.9000244
"Burrel Union Elementary","KK-08",137,6.400000095,25,605.5500488,0.182481751,5580.146973,21.40625,1.017659273,12.40875912,605.7000122,605.4000244
"Holt Union Elementary","KK-08",195,10,28,606.75,0.14358975,5253.331055,19.5,0.818027851,68.71794891,604.5,609
"Vineland Elementary","KK-08",888,42.5,66,609,0.074324325,4565.746094,20.89411736,0.912434622,46.95946121,605.5,612.5
"Orange Center Elementary","KK-08",379,19,35,612.5,0.092348285,5355.54834,19.94736862,0.868350513,30.07915688,608.9000244,616.0999756
"Del Paso Heights Elementary","KK-06",2247,108,0,612.6500244,0,5036.211426,20.80555534,1.06495687,40.27592087,611.9000244,613.4000244
"Le Grand Union Elementary","KK-08",446,21,86,615.75,0.192825109,4547.692383,21.23809433,0.950900077,52.91479874,612.7999878,618.7000122
"West Fresno Elementary","KK-08",987,47,56,616.2999878,0.056737587,5447.345215,21,0.868350513,54.60993195,616.5999756,616
"Allensworth Elementary","KK-08",103,5,25,616.2999878,0.242718443,6567.149414,20.60000038,0.727134427,42.71844482,612.7999878,619.7999878
"Sunnyside Union Elementary","KK-08",487,24.34000015,0,616.2999878,0,4818.612793,20.00821686,0.917977897,20.53388023,610,622.5999756
"Woodville Elementary","KK-08",649,36,31,616.4500122,0.047765795,5621.456055,18.02777863,0.983626292,80.1232605,611.9000244,621
"Pixley Union Elementary","KK-08",852,42.06999969,80,617.3499756,0.093896717,6026.359863,20.25196075,0.872389388,49.41314316,614.7999878,619.9000244
"Lost Hills Union Elementary","KK-08",491,28.92000008,100,618.0500488,0.203665987,6723.237793,16.97786903,0.793511011,85.53971863,611.7000122,624.4000244
"Buttonwillow Union Elementary","KK-08",421,25.5,50,618.3000488,0.118764848,5589.885254,16.50980377,0.890085523,58.90736389,614.9000244,621.7000122
"Lennox Elementary","KK-08",6880,303.0299988,960,619.7999878,0.139534891,5064.615723,22.70402336,0.846460815,77.0058136,619.0999756,620.5
"Lamont Elementary","KK-08",2688,135,139,620.2999878,0.05171131,5433.593262,19.91111183,0.755798648,49.81398773,621.2999878,619.2999878
"Westmorland Union Elementary","KK-08",440,24,69,620.5,0.156818181,5725.563477,18.33333397,0.899875195,40.68181992,615.5999756,625.4000244
"Pleasant View Elementary","KK-08",475,21,53,621.4000244,0.111578949,4542.10498,22.61904716,0.983626292,16.21052551,619.9000244,622.9000244
"Wasco Union Elementary","KK-08",2538,130.5,169,621.75,0.066587865,5107.086426,19.44827652,0.869525075,45.07486343,622.9000244,620.5999756
"Alta Vista Elementary","KK-08",476,19,0,622.0500488,0,4659.661621,25.05263138,0.983626292,39.07563019,620.7000122,623.4000244
"Livingston Union Elementary","KK-08",2357,114,216,622.5999756,0.091641918,4555.464355,20.67543793,0.904120216,76.66525269,619.5,625.7000122
"Woodlake Union Elementary","KK-08",1588,85,198,623.0999756,0.124685138,5415.152832,18.68235207,0.930592476,40.49118423,625,621.2000122
"Alisal Union Elementary","KK-06",7306,319.7999878,742,623.2000122,0.101560362,4997.871582,22.84552956,0.902176002,73.7202301,620.4000244,626
"Arvin Union Elementary","KK-08",2601,135,269,623.4500122,0.103421763,5223.912109,19.26666641,0.86362021,70.01153564,616.5,630.4000244
"Terra Bella Union Elementary","KK-08",847,44,67,623.5999756,0.079102717,5139.164551,19.25,0.951045949,55.96221542,620.0999756,627.0999756
"Tipton Elementary","KK-08",452,22,55,624.1500244,0.121681415,4614.251953,20.54545403,0.932169241,11.06194687,627.9000244,620.4000244
"San Ysidro Elementary","KK-08",4142,201,569,624.5500488,0.137373254,5342.233398,20.60696602,0.820398517,80.42008972,620.4000244,628.7000122
"Soledad Unified","KK-08",2102,99.75,224,624.9500122,0.106565177,5347.458496,21.07268143,1.093736798,63.13035583,623,626.9000244
"Mountain View Elementary","KK-08",10012,464.8999939,721,625.2999878,0.072013587,5036.458984,21.53581429,0.909909713,65.12185669,620.7999878,629.7999878
"King City Union Elementary","KK-08",2488,125,202,625.8499756,0.081189707,5117.141602,19.90399933,1.058084215,53.41640091,626.0999756,625.5999756
"Ontario-Montclair Elementary","KK-08",25151,1186.699951,1713,626.0999756,0.068108626,5117.039551,21.19406891,1.06901006,49.82307053,625.4000244,626.7999878
"Los Nietos Elementary","KK-08",2267,103.6800003,177,626.8000488,0.07807675,5272.191895,21.86535454,1.054325745,35.46537018,625.4000244,628.2000122
"Winton Elementary","KK-08",1657,90.40000153,204,626.9000244,0.123114064,5225.719238,18.32964516,0.982180726,56.12552643,623.5999756,630.2000122
"Raisin City Elementary","KK-08",284,17.5,18,627.0999756,0.063380279,6516.533203,16.22857094,1.163101703,32.39436722,628.9000244,625.2999878
"Ravenswood City Elementary","KK-08",5370,280,562,627.25,0.104655497,4559.176758,19.1785717,1.343605498,65.51210022,624.4000244,630.0999756
"Richland-Lerdo Union Elementary","KK-08",2471,121.8600006,275,627.2999878,0.111290976,5119.158203,20.27736664,0.987174485,53.05544281,627.5,627.0999756
"Oxnard Elementary","KK-08",15386,669.3599854,1762,628.25,0.114519693,5338.185547,22.98613739,1.060053265,49.64253235,627.7999878,628.7000122
"El Nido Elementary","KK-08",184,9,40,628.4000244,0.217391297,5090.044922,20.44444466,0.91264713,45.10869598,621.5999756,635.2000122
"Fairfax Elementary","KK-08",1217,61.40000153,78,628.5500488,0.064092033,5485.496094,19.82084656,0.912434622,30.32045937,629.4000244,627.7000122
"Delano Union Elementary","KK-08",6219,268,571,628.6500244,0.091815405,4793.370117,23.20522308,0.875061263,52.24312592,621.0999756,636.2000122
"Perris Elementary","KK-06",4258,221,324,628.75,0.076092064,5092.91748,19.26696777,1.002187664,36.80131531,626.5,631
"Valle Lindo Elementary","KK-08",1235,53,175,629.8000488,0.141700402,4359.520996,23.30188751,0.865222443,30.28339958,630.2000122,629.4000244
"Alum Rock Union Elementary","KK-08",16244,766.6500244,1423,630.3499756,0.087601572,5645.495605,21.18828583,1.09973509,49.8645668,629.5,631.2000122
"Edison Elementary","KK-08",814,39,85,630.4000244,0.104422607,4518.016113,20.87179565,1.181185935,13.75921345,631.9000244,628.9000244
"Bakersfield City Elementary","KK-08",27176,1429,3324,630.5499878,0.122313805,5864.366211,19.0174942,1.08311287,28.86370468,631.5999756,629.5
"Franklin-McKinley Elementary","KK-08",10696,487.9700012,1306,630.5499878,0.122101717,5257.996582,21.91938019,1.071329581,52.80478668,628.5,632.5999756
"Hawthorne Elementary","KK-08",8935,444.5,786,631.0500488,0.087968662,5016.692383,20.10123825,1.148047102,44.08506012,628.4000244,633.7000122
"Chowchilla Elementary","KK-08",1600,74.5,242,631.4000244,0.151250005,4720.086426,21.476511,1.020029639,35.25,635.7000122,627.0999756
"Salinas City Elementary","KK-06",9028,449.9200134,669,631.8499756,0.074102789,5470.5625,20.06578827,1.12727061,37.49446106,633,630.7000122
"Santa Maria-Bonita Elementary","KK-08",10625,521.4699707,896,631.9000244,0.084329411,5615.441895,20.37509537,1.089968654,50.39059067,629.5999756,634.2000122
"Whittier City Elementary","KK-08",7151,318.5799866,560,631.9500122,0.078310728,5245.439941,22.4464817,1.187635508,31.07257843,634.2000122,629.7000122
"Eastside Union Elementary","KK-08",2404,105,202,632,0.08402662,4838.175293,22.89523888,1.138681556,18.26123238,633.5,630.5
"Lawndale Elementary","KK-08",5804,283.1499939,480,632.2000122,0.082701586,5367.988281,20.49797058,1.151798723,34.70020676,631.4000244,633
"Robla Elementary","KK-06",2253,112.6500015,196,632.25,0.086995117,5526.236816,20,0.947678729,33.28894806,637.5,627
"Santa Rita Union Elementary","KK-08",2807,126.1200027,152,632.4499512,0.054150339,4353.019531,22.25658035,1.11384311,33.48770905,637.2999878,627.5999756
"Rio Elementary","KK-08",3074,142.5500031,249,632.8499756,0.081001952,5034.290039,21.56436348,1.064158373,38.15875244,633.2000122,632.5
"Strathmore Union Elementary","KK-08",723,37.11999893,45,632.9500122,0.062240664,4692.493652,19.47737122,0.917977897,36.92946243,629.2000122,636.7000122
"North Sacramento Elementary","KK-06",5138,290.7749939,560,633.0499878,0.108991824,5606.781738,17.67002106,1.037651257,32.98949051,630.2999878,635.7999878
