"","intentie","opl.niveau","attitudes","pcg","psn","leeftijd","geslacht"
"1",1,3,5.83333333333333,5.75,5.66666666666667,25,0
"2",1,1,6.5,5.25,6,42,1
"3",0,3,6.66666666666667,5.5,5.33333333333333,25,1
"4",0,3,5,6.25,3,25,1
"5",0,3,5.16666666666667,5.25,4,54,1
"6",1,3,6.5,5.5,4,42,1
"7",0,1,7,7,4.66666666666667,25,0
"8",0,1,4.66666666666667,4.75,NA,46,0
"9",1,1,3.66666666666667,5.25,4.33333333333333,27,0
"10",0,1,5.5,4.75,5.66666666666667,62,0
"11",1,2,5.66666666666667,6,5,26,1
"12",0,1,4.83333333333333,6,1,54,0
"13",0,3,4.66666666666667,6,6,26,0
"14",0,2,7,7,6.33333333333333,48,1
"15",1,2,5.66666666666667,5.75,5,33,0
"16",0,1,4,3.5,3.33333333333333,60,0
"17",1,3,5.83333333333333,7,5.66666666666667,30,0
"18",1,2,7,6.25,6,29,0
"19",0,3,7,6.5,5,57,1
"20",1,3,5.33333333333333,6.25,6.33333333333333,40,0
"21",0,1,5.5,5.5,2.33333333333333,50,0
"22",0,2,4.66666666666667,4.25,1.66666666666667,38,0
"23",0,1,6.66666666666667,6.75,5,35,1
"24",1,3,7,6.25,4,48,1
"25",0,2,6,6.25,4,57,1
"26",0,2,4.83333333333333,5.25,2.33333333333333,49,1
"27",0,1,6,4,NA,33,1
"28",1,3,7,5.75,5,25,1
"29",1,1,5,4.75,3.33333333333333,37,1
"30",0,2,6,4.5,2,60,1
"31",0,3,7,7,6.33333333333333,61,1
"32",0,3,4.66666666666667,5,5.33333333333333,64,0
"33",0,1,5.5,5.75,6,25,1
"34",0,2,5.66666666666667,5.5,3.33333333333333,47,1
"35",1,3,7,6.75,4.66666666666667,47,1
"36",0,3,6.16666666666667,5.25,4,56,1
"37",0,2,6.33333333333333,4.5,1,40,1
"38",1,1,5.83333333333333,6.5,5,30,0
"39",1,3,6.83333333333333,5.75,4.66666666666667,46,1
"40",1,3,6.66666666666667,6,6.66666666666667,51,0
"41",0,2,6.33333333333333,5.25,4.33333333333333,60,0
"42",0,2,6.16666666666667,5,1,25,1
"43",1,3,6.5,7,5,26,1
"44",0,1,5.66666666666667,6.5,4,47,1
"45",0,1,5,3.5,2.33333333333333,38,1
"46",0,1,4.33333333333333,6.25,7,43,1
"47",0,2,4.66666666666667,3.75,1.33333333333333,26,1
"48",1,3,6.33333333333333,5,4.33333333333333,46,0
"49",1,3,6.66666666666667,6.5,5,50,1
"50",0,3,6.66666666666667,6.5,6.33333333333333,37,0
"51",0,2,5.83333333333333,5,4,42,1
"52",0,1,4,3.25,1,57,0
"53",0,2,7,7,3.33333333333333,56,1
"54",0,1,1.83333333333333,2.75,1.66666666666667,55,0
"55",0,2,5.66666666666667,4,3.33333333333333,33,1
"56",0,1,4,4,4,44,1
"57",1,3,6.16666666666667,5.75,4.33333333333333,51,0
"58",1,1,7,7,5.66666666666667,25,1
"59",0,1,6.33333333333333,5.25,4,51,1
"60",1,2,5,3.75,6,31,0
"61",1,2,3,4.5,5,27,0
"62",0,1,5,4,4,54,1
"63",0,1,5,6.75,5.33333333333333,36,0
"64",1,3,6.5,6.75,6,25,0
"65",0,1,4.83333333333333,4.25,4,24,0
"66",0,1,6.33333333333333,7,5.33333333333333,53,1
"67",0,1,5.33333333333333,5.75,5.33333333333333,42,1
"68",0,2,6.16666666666667,4.5,4.66666666666667,50,0
"69",1,2,5.5,6,6,58,1
"70",0,1,6,5.25,4,28,1
"71",1,3,6.5,7,6.33333333333333,45,1
"72",1,2,5.66666666666667,5.5,5.66666666666667,50,1
"73",0,3,4,3,4,64,0
"74",1,2,4.5,4.25,4.33333333333333,43,1
"75",1,2,5.5,3.75,7,27,0
"76",1,3,7,6.75,4.66666666666667,54,1
"77",0,2,5.66666666666667,4.75,4,45,1
"78",1,1,5,5,5.33333333333333,55,1
"79",1,1,6.16666666666667,6.5,3.33333333333333,63,0
"80",0,1,6.5,5.5,5.66666666666667,61,1
"81",0,2,5.33333333333333,4.25,2.33333333333333,40,1
"82",0,1,4.66666666666667,4,2.33333333333333,32,0
"83",0,2,5.83333333333333,5.25,5,62,0
"84",0,1,6.66666666666667,5,4,57,1
"85",0,1,5.5,6.25,5,53,0
"86",0,2,6.5,6.5,4.33333333333333,60,0
"87",0,1,6,6.5,5,57,0
"88",0,1,3.5,4.75,1,24,0
"89",0,2,5.16666666666667,4.25,2,55,0
"90",0,2,5.83333333333333,6,2.66666666666667,51,0
"91",0,1,6.16666666666667,6.75,2.33333333333333,56,0
"92",0,1,5.33333333333333,3.75,3.66666666666667,56,0
"93",0,1,4.83333333333333,5.75,2.33333333333333,55,1
"94",0,2,7,6.25,1,47,0
