"School","Klas","Conditie","BL_pretest","BL_posttest","Niveau","Dyslexie","NiveauNietZwak"
1,1,"0",0.924241649,0.129920536,"2",0,1
1,1,"0",-1.483075817,-0.328782264,"2",0,1
1,1,"0",0.730843279,1.718958037,"1",0,1
1,1,"0",-0.237685138,0.222028085,"2",0,1
1,1,"0",0.162390308,0.871476848,"2",0,1
1,1,"0",-0.563536653,-1.985476584,"3",0,0
1,1,"0",-0.237685138,-2.221745337,"2",0,1
1,1,"0",-1.211314225,-0.291699241,"3",0,0
1,1,"0",0.919741861,1.383192784,"1",0,1
1,1,"0",-1.274323469,-1.464949697,"2",0,1
1,1,"0",-0.154744556,0.538943465,"1",0,1
1,1,"0",-0.237685138,0.863753352,"2",0,1
1,1,"0",-0.670926668,0.019172974,"2",0,1
1,1,"0",0.098361613,1.031358334,"1",0,1
1,1,"0",0.313676968,2.59272908,"1",0,1
1,1,"0",2.975107332,0.91874802,"1",0,1
1,1,"0",0.772574534,0.101502968,"1",0,1
1,1,"0",-0.362574785,-1.053299661,"2",0,1
1,1,"0",-0.337798471,0.614489343,"1",0,1
1,1,"0",-0.128863378,1.636409736,"1",0,1
1,1,"0",-1.120462201,-0.11762783,"1",0,1
1,1,"0",2.316304906,0.384634931,"1",0,1
1,2,"0",0.698556621,0.523737704,"1",0,1
1,2,"0",0.367787441,-0.511086722,"2",0,1
1,2,"0",-1.301676437,-0.537122494,"3",0,0
1,2,"0",0.367787441,0.124599149,"1",0,1
1,2,"0",-1.202647026,-0.492869227,"1",0,1
1,2,"0",0.868044319,-0.030052198,"1",0,1
1,2,"0",0.247949405,0.126971381,"1",0,1
1,2,"0",-0.149717633,-0.401400383,"1",0,1
1,2,"0",1.331994039,1.616939557,"1",0,1
1,2,"0",0.993275599,0.332906558,"2",0,1
1,2,"0",-0.326074386,-1.128781408,"2",0,1
1,2,"0",1.303778632,2.241561804,"1",0,1
1,2,"0",2.100405434,0.697636561,"1",0,1
1,2,"0",-1.221612924,NA,"2",0,1
1,2,"0",-1.722334816,-0.755306918,"3",0,0
1,2,"0",0.258208827,0.444905053,"3",0,0
1,2,"0",0.22961203,1.113551343,"2",0,1
1,2,"0",0.727296795,2.891260867,"1",0,1
1,2,"0",0.713508825,-0.096068015,"2",0,1
1,2,"0",-0.259825423,0.124599149,"2",0,1
1,2,"0",0.313676968,0.695268129,"3",0,0
1,2,"0",0.779168942,-0.196463883,"1",0,1
1,2,"0",0.646093352,0.006982679,"2",0,1
1,2,"0",-0.143193446,0.348313643,"2",0,1
1,2,"0",0.394289149,0.399541952,"2",0,1
1,3,"0",2.766413701,3.595948659,"1",0,1
1,3,"0",2.322440862,1.815077109,"1",0,1
1,3,"0",1.336668325,0.375374538,"1",0,1
1,3,"0",2.373817459,1.959468255,"1",0,1
1,3,"0",-1.305200476,0.274656908,"1",0,1
1,3,"0",1.17193421,2.579168443,"1",0,1
1,3,"0",-0.647969112,-0.51887138,"1",0,1
1,3,"0",-0.230274691,0.006982679,"2",1,1
1,3,"0",-2.403759829,-1.694087421,"1",0,1
1,3,"0",-0.891368678,-0.527732042,"1",0,1
1,3,"0",1.705990102,-0.312887515,"2",0,1
1,3,"0",1.686136699,0.129697368,"2",0,1
1,3,"0",2.144703938,1.7807439,"1",0,1
1,3,"0",0.931638913,0.763192848,"1",0,1
1,3,"0",0.298008831,-0.078692097,"1",0,1
1,3,"0",-0.908980183,1.588286271,"1",0,1
1,3,"0",1.905572728,2.394842597,"1",0,1
1,3,"0",1.283492813,1.760156963,"1",0,1
1,3,"0",0.766354756,0.576629795,"1",0,1
1,3,"0",0.343779341,0.395107783,"1",0,1
1,4,"0",1.441896956,0.648842586,"1",0,1
1,4,"0",-0.646107486,0.275635332,"2",0,1
1,4,"0",1.335182815,-0.616348061,"1",0,1
1,4,"0",1.435124681,0.341437955,"1",0,1
1,4,"0",-0.581481216,-0.48501648,"2",0,1
1,4,"0",-0.947443747,1.18856637,"1",0,1
