"","date","age","gender","comorbidity","comorbidity.N_Y","edu.cat","edu","vaccination_intention","vaccin_campaign","vaccin_encouragement","risk_probability_self","risk_consequence_self","risk_self","risk_probability_other","risk_consequence_other","risk_other","worries_relatives","worries_health","motv_vaccin_ident_2","motv_vaccin_ident_3","motv_vaccin_ident_4","motv_vaccin_exter_1","motv_vaccin_exter_2","motv_vaccin_exter_3","motv_vaccin_distrust_1","motv_vaccin_distrust_4","motv_vaccin_distrust_5","motv_vaccin_effort_1","motv_vaccin_effort_2","motv_vaccin_effort_3","gender.M_F"
"1","2020-11-25",70,"Female","No",0,"Master",7,5,3,5,2,3,1.83333333333333,3,4,2.83333333333333,3,3,5,5,5,1,1,3,1,1,1,1,1,1,1
"2","2020-11-25",40,"Female","No",0,"Secundary superior",4,2,1,2,3,2,1.83333333333333,4,3,2.83333333333333,3,1,2,2,2,3,3,3,4,5,5,2,2,1,1
"3","2020-11-25",30,"Female","No",0,"Master",7,3,3,4,3,2,1.83333333333333,3,3,2.33333333333333,2,1,3,4,4,2,2,3,5,4,5,2,1,1,1
"4","2020-11-25",51,"Male","No",0,"Bachelor technical",5,1,2,3,1,3,1.33333333333333,4,3,2.83333333333333,2,2,2,2,2,5,3,4,4,3,3,2,1,1,0
"5","2020-11-25",34,"Female","No",0,"Secundary superior",4,1,1,3,2,2,1.5,4,4,3.5,4,3,1,1,1,2,1,2,4,3,3,3,2,1,1
"6","2020-11-25",63,"Female","No",0,"Secundary superior",4,5,3,5,3,5,3.33333333333333,3,5,3.33333333333333,3,2,5,5,5,4,3,2,4,3,3,1,1,1,1
"7","2020-11-25",65,"Female","No",0,"Secundary inferior",3,5,4,4,3,5,3.33333333333333,4,5,4.16666666666667,5,4,5,5,5,2,1,3,4,2,2,1,1,1,1
"8","2020-11-25",25,"Female","No",0,"Bachelor technical",5,3,4,4,2,2,1.5,4,4,3.5,4,4,2,3,3,4,4,4,5,4,5,1,1,1,1
"9","2020-11-25",54,"Female","No",0,"Bachelor technical",5,5,4,4,2,3,1.83333333333333,3,3,2.33333333333333,4,2,5,5,5,2,2,2,2,3,3,1,1,1,1
"10","2020-11-25",66,"Female","No",0,"Secundary inferior",3,4,3,4,3,3,2.33333333333333,3,3,2.33333333333333,3,3,4,4,4,2,2,2,3,2,2,2,2,2,1
"11","2020-11-25",47,"Female","No",0,"Secundary superior",4,1,1,2,3,2,1.83333333333333,4,3,2.83333333333333,4,3,2,3,4,1,1,3,5,4,5,2,1,1,1
"12","2020-11-25",52,"Male","Yes",1,"Bachelor technical",5,5,5,5,3,2,1.83333333333333,4,2,2.16666666666667,3,2,4,4,4,3,4,3,1,2,2,2,2,2,0
"13","2020-11-25",38,"Female","No",0,"Secundary superior",4,4,3,4,3,4,2.83333333333333,4,4,3.5,3,2,4,4,3,3,3,3,5,3,4,2,1,1,1
"14","2020-11-25",57,"Female","No",0,"Bachelor technical",5,3,2,3,3,3,2.33333333333333,3,3,2.33333333333333,3,3,3,3,3,4,2,3,4,3,4,2,2,2,1
"15","2020-11-25",28,"Female","Yes",1,"Bachelor technical",5,3,1,3,3,4,2.83333333333333,4,3,2.83333333333333,5,5,4,4,4,4,4,3,5,4,4,3,3,3,1
"16","2020-11-25",61,"Female","No",0,"Secundary superior",4,5,5,5,2,5,2.5,4,5,4.16666666666667,5,1,5,5,5,1,1,1,1,1,1,1,1,1,1
"17","2020-11-25",40,"Female","No",0,"Bachelor technical",5,4,3,3,2,2,1.5,4,3,2.83333333333333,4,2,4,4,4,2,2,3,4,2,3,2,2,2,1
"18","2020-11-25",72,"Female","No",0,"Bachelor technical",5,5,5,5,2,3,1.83333333333333,3,4,2.83333333333333,3,1,5,5,5,1,1,1,2,1,1,1,1,1,1
"19","2020-11-25",37,"Female","No",0,"Secundary superior",4,1,1,1,1,2,1.16666666666667,1,3,1.33333333333333,1,2,1,1,1,5,3,4,5,5,5,3,3,3,1
"20","2020-11-25",62,"Female","No",0,"Secundary inferior",3,5,3,5,4,4,3.5,4,4,3.5,5,4,5,5,5,2,2,2,1,1,1,1,1,1,1
"21","2020-11-25",50,"Female","No",0,"Secundary inferior",3,4,3,4,3,4,2.83333333333333,4,4,3.5,4,3,4,4,3,4,2,2,4,4,4,2,2,2,1
"22","2020-11-25",39,"Female","No",0,"Bachelor technical",5,2,3,4,3,4,2.83333333333333,3,4,2.83333333333333,4,2,4,4,4,3,4,4,5,2,4,2,2,2,1
"23","2020-11-25",61,"Female","No",0,"Master",7,5,4,4,4,4,3.5,4,4,3.5,5,5,5,5,5,1,1,1,4,2,3,1,1,1,1
"24","2020-11-25",33,"Female","No",0,"Bachelor technical",5,4,3,4,3,2,1.83333333333333,4,4,3.5,3,3,4,4,4,2,2,3,4,2,2,1,1,1,1
"25","2020-11-25",34,"Male","No",0,"Bachelor technical",5,5,3,5,2,3,1.83333333333333,4,4,3.5,5,5,5,5,5,2,4,3,3,2,1,1,1,1,0
"26","2020-11-25",29,"Female","No",0,"Master",7,5,3,5,2,3,1.83333333333333,3,4,2.83333333333333,4,2,4,3,2,3,3,2,3,2,4,2,1,1,1
"27","2020-11-25",63,"Female","Yes",1,"Secundary superior",4,5,4,5,3,4,2.83333333333333,4,4,3.5,4,3,5,5,5,3,3,3,3,1,1,1,1,1,1
"28","2020-11-25",41,"Female","No",0,"Master",7,2,2,2,3,3,2.33333333333333,3,2,1.83333333333333,4,4,1,3,2,4,4,4,5,4,4,3,2,2,1
"29","2020-11-25",72,"Female","Yes",1,"Secundary inferior",3,5,4,5,3,3,2.33333333333333,3,4,2.83333333333333,4,3,4,4,4,2,2,2,2,2,2,2,2,2,1
"30","2020-11-25",65,"Male","Yes",1,"Bachelor technical",5,5,4,4,2,4,2.16666666666667,4,4,3.5,2,2,4,4,3,2,2,2,2,2,2,2,2,2,0
"31","2020-11-26",36,"Female","No",0,"Bachelor technical",5,3,3,3,3,3,2.33333333333333,4,4,3.5,3,3,3,3,3,3,3,3,4,4,4,2,2,2,1
"32","2020-11-27",33,"Female","No",0,"Bachelor technical",5,3,3,4,4,3,2.83333333333333,3,4,2.83333333333333,5,4,3,3,4,4,3,4,4,2,4,2,1,2,1
"33","2020-11-27",74,"Female","No",0,"Bachelor technical",5,3,3,5,4,4,3.5,4,5,4.16666666666667,5,3,5,5,5,3,3,3,3,2,2,1,1,1,1
"34","2020-11-27",61,"Female","No",0,"Bachelor technical",5,2,1,1,1,2,1.16666666666667,4,3,2.83333333333333,1,1,1,1,1,4,4,2,4,3,5,2,2,2,1
"35","2020-11-27",45,"Male","No",0,"Bachelor technical",5,5,5,5,2,4,2.16666666666667,3,5,3.33333333333333,5,4,5,5,3,1,4,1,3,2,1,1,1,1,0
"36","2020-11-27",26,"Male","No",0,"Master",7,4,4,5,3,4,2.83333333333333,4,4,3.5,5,4,5,5,5,4,4,4,3,1,1,1,1,1,0
"37","2020-11-27",61,"Female","No",0,"Secundary superior",4,3,2,3,3,3,2.33333333333333,4,3,2.83333333333333,5,4,3,3,3,4,4,3,5,4,4,2,2,2,1
"38","2020-11-27",21,"Male","No",0,"Bachelor university",6,5,4,5,2,4,2.16666666666667,3,4,2.83333333333333,4,1,5,5,5,1,1,3,1,1,1,1,1,1,0
